Unnamed: 0,Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
204,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7217,-,-,-,281,0.345,0.355,100,0.345,-,-,-,s,21-Oct-19,05:00PM,-,EONMETALL GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7217
205,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7773,-,-,-,100,0.325,0.37,50,0.37,-,-,-,s,21-Oct-19,05:00PM,-,EP MANUFACTURING BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7773
206,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5081,-,-,-,50,0.54,0.57,65,0.56,-,-,-,s,21-Oct-19,05:00PM,-,ESTHETICS INTERNATIONAL GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5081
207,MAIN MARKET,PROPERTY,'6815,0.005,0.79,"1,546",100,0.615,0.64,200,0.63,0.63,0.635,0.63,s,21-Oct-19,05:00PM,0.635,EUPE CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6815
208,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7208,-,-,"4,200","1,000",0.095,0.1,"1,171",0.095,0.095,0.095,0.095,s,21-Oct-19,05:00PM,0.095,EURO HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7208
209,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7094,-,-,44,156,0.39,0.41,10,0.39,0.39,0.39,0.39,s,21-Oct-19,05:00PM,0.39,EUROSPAN HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7094
210,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5101,-,-,"13,328","3,000",0.27,0.275,"1,285",0.27,0.27,0.28,0.27,s,21-Oct-19,05:00PM,0.27,EVERGREEN FIBREBOARD BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5101
211,MAIN MARKET,CONSTRUCTION,'5205,0.005,1.23,"19,516","1,524",0.405,0.41,485,0.405,0.405,0.42,0.4,s,21-Oct-19,05:00PM,0.41,EVERSENDAI CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5205
212,MAIN MARKET,PROPERTY,'7249,-,-,"8,582",10,0.61,0.615,830,0.61,0.61,0.615,0.605,s,21-Oct-19,05:00PM,0.61,EWEIN BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7249
213,MAIN MARKET,TECHNOLOGY,'0065,0.005,0.81,"85,095",680,0.625,0.63,540,0.62,0.62,0.635,0.62,s,21-Oct-19,05:00PM,0.625,EXCEL FORCE MSC BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0065
214,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'2984,0.01,0.78,181,29,1.25,1.3,174,1.28,1.25,1.29,1.25,s,21-Oct-19,05:00PM,1.29,FACB INDUSTRIES INCORPORATED BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2984
215,MAIN MARKET,CONSTRUCTION,'7047,0.005,1.43,"1,931",187,0.355,0.365,"1,719",0.35,0.355,0.355,0.355,s,21-Oct-19,05:00PM,0.355,FAJARBARU BUILDER GROUP BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7047
