Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-09-19,'8907,EG ,EG INDUSTRIES BERHAD,,0.395,0.405,0.395,0.395,"171,200",0,0.000 ,0.00%,,"304,500",0.355 - 0.565,0.00,0.00%,4.65,108.6M,8,0,0.30,0.395 / 0.400,3.55,368.39,,0.6,,"83,300 / 23,200",https://www.klsescreener.com/v2/stocks/view/8907/eg-industries-berhad
2019-09-19,'7005,BIG ,B.I.G. INDUSTRIES BERHAD,,0.31,0.300,0.300,0.300,"30,400",2,-0.010 ,-3.23%,decreasing,"28,300",0.260 - 0.515,0.00,0.00%,1.99,14.4M,15,0,0.54,0.295 / 0.300,3.55,95.63,,1.1,,"30,000 / 1,600",https://www.klsescreener.com/v2/stocks/view/7005/b-i-g-industries-berhad
2019-09-19,'0058,JCBNEXT ,JCBNEXT BERHAD,,1.45,1.450,1.450,1.450,-,0,0.000 ,0.00%,,"41,600",1.340 - 1.680,4.00,2.76%,8.69,199.8M,17,22,0.59,1.400 / 1.450,3.55,6.55,,0.0,,"3,000 / 10,000",https://www.klsescreener.com/v2/stocks/view/0058/jcbnext-berhad
2019-09-19,'5249,IOIPG ,IOI PROPERTIES GROUP BERHAD,,1.16,1.160,1.140,1.150,"1,548,800",1,-0.010 ,-0.86%,decreasing,"2,823,700",1.110 - 1.730,3.00,2.61%,12.01,"6,332.1M",10,3,0.34,1.150 / 1.160,3.51,40.17,,0.5,,"203,600 / 112,900",https://www.klsescreener.com/v2/stocks/view/5249/ioi-properties-group-berhad
2019-09-19,'3476,KSENG ,KECK SENG (MALAYSIA) BERHAD,,4.54,4.540,4.540,4.540,"9,000",0,0.000 ,0.00%,,"33,900",3.950 - 5.000,10.00,2.20%,21.92,"1,641.1M",21,2,0.72,4.540 / 4.580,3.49,270.18,,0.3,,"8,700 / 2,000",https://www.klsescreener.com/v2/stocks/view/3476/keck-seng-malaysia-berhad
2019-09-19,'1619,DRBHCOM ,DRB-HICOM BERHAD,,2.44,2.470,2.440,2.440,"3,387,100",0,0.000 ,0.00%,,"9,175,800",1.600 - 3.000,3.00,1.23%,12.19,"4,717.1M",20,0,0.70,2.440 / 2.450,3.48,685.87,,0.4,,"994,900 / 60,000",https://www.klsescreener.com/v2/stocks/view/1619/drb-hicom-berhad
2019-09-19,'5180,CMMT ,CAPITALAND MALAYSIA MALL TRUST,,1.05,1.080,1.050,1.070,"3,478,600",2,+0.020 ,+1.90%,increasing,"1,241,100",0.990 - 1.170,7.10,6.64%,4.31,"2,195.4M",25,6,0.86,1.070 / 1.080,3.46,16.85,,2.8,,"1,898,200 / 234,000",https://www.klsescreener.com/v2/stocks/view/5180/capitaland-malaysia-mall-trust
2019-09-19,'5207,SBCCORP ,SBC CORPORATION BERHAD,,0.42500000000000004,0.460,0.460,0.460,"1,000",7,+0.035 ,+8.24%,increasing,"15,600",0.400 - 0.630,1.00,2.17%,5.65,118.7M,8,1,0.28,0.435 / 0.455,3.45,69.64,,0.1,,"1,500 / 600",https://www.klsescreener.com/v2/stocks/view/5207/sbc-corporation-berhad
2019-09-19,'7033,HIGHTEC ,KUMPULAN H & L HIGH-TECH BERHAD,,1.03,1.050,1.050,1.050,800,2,+0.020 ,+1.94%,increasing,800,1.030 - 1.680,3.50,3.33%,8.76,42.6M,12,2,0.41,1.020 / 1.050,3.44,57.54,,1.0,,"100 / 7,800",https://www.klsescreener.com/v2/stocks/view/7033/kumpulan-h-l-high-tech-berhad
2019-09-19,'6742,YTLPOWR ,YTL POWER INTERNATIONAL BHD,,0.73,0.740,0.730,0.730,"5,110,200",0,0.000 ,0.00%,,"2,452,300",0.685 - 1.110,4.72,6.47%,5.63,"5,955.5M",13,1,0.47,0.730 / 0.735,3.62,143.13,,2.1,,"2,129,200 / 1,492,100",https://www.klsescreener.com/v2/stocks/view/6742/ytl-power-international-bhd
2019-09-19,'9091,EMICO ,EMICO HOLDINGS BERHAD,,0.155,0.165,0.160,0.160,"190,400",1,+0.005 ,+3.23%,increasing,"128,800",0.150 - 0.215,0.00,0.00%,1.43,16.9M,11,0,0.38,0.160 / 0.165,3.40,51.02,,1.5,,"9,600 / 47,300",https://www.klsescreener.com/v2/stocks/view/9091/emico-holdings-berhad
2019-09-19,'7006,LATITUD ,LATITUDE TREE HOLDINGS BERHAD,,2.9600000000000004,3.000,2.960,2.990,"9,000",3,+0.030 ,+1.01%,increasing,"57,400",2.850 - 4.160,3.00,1.00%,19.82,290.7M,15,0,0.51,2.950 / 2.990,3.41,750.53,,0.2,,"3,000 / 4,200",https://www.klsescreener.com/v2/stocks/view/7006/latitude-tree-holdings-berhad
2019-09-19,'7060,NHFATT ,NEW HOONG FATT HOLDINGS BERHAD,,2.74,2.740,2.740,2.740,-,0,0.000 ,0.00%,,"1,900",2.450 - 3.060,10.00,3.65%,18.90,226.5M,14,1,0.49,2.500 / 2.740,3.38,321.43,,0.0,,"8,000 / 13,800",https://www.klsescreener.com/v2/stocks/view/7060/new-hoong-fatt-holdings-berhad
2019-09-19,'5135,SWKPLNT ,SARAWAK PLANTATION BERHAD,,1.5,1.460,1.460,1.460,"2,000",4,-0.040 ,-2.67%,decreasing,"41,900",1.310 - 1.900,5.00,3.42%,6.29,408.8M,23,1,0.76,1.430 / 1.460,3.28,113.56,,0.0,,"6,000 / 4,000",https://www.klsescreener.com/v2/stocks/view/5135/sarawak-plantation-berhad
2019-09-19,'7173,TOYOINK ,TOYO INK GROUP BERHAD,,0.66,0.690,0.650,0.680,"1,800",4,+0.020 ,+3.03%,increasing,"250,800",0.575 - 1.040,2.00,2.94%,3.74,72.8M,18,1,0.59,0.670 / 0.700,3.25,82.09,,0.0,,"20,800 / 10,000",https://www.klsescreener.com/v2/stocks/view/7173/toyo-ink-group-berhad
2019-09-19,'5284,LCTITAN ,LOTTE CHEMICAL TITAN HOLDING BERHAD,,2.7800000000000002,2.780,2.740,2.740,"387,200",4,-0.040 ,-1.44%,decreasing,"784,800",2.460 - 5.100,17.00,6.20%,16.80,"6,323.3M",16,1,0.53,2.740 / 2.750,3.25,392.24,,0.5,,"100 / 4,600",https://www.klsescreener.com/v2/stocks/view/5284/lotte-chemical-titan-holding-berhad
2019-09-19,'8125,DAIBOCI ,DAIBOCHI BERHAD,,1.69,1.710,1.700,1.710,"59,700",2,+0.020 ,+1.18%,increasing,"49,600",1.550 - 2.370,1.50,0.88%,1.98,560.7M,87,2,2.80,1.700 / 1.710,3.25,111.30,,1.2,,"11,000 / 800",https://www.klsescreener.com/v2/stocks/view/8125/daibochi-berhad
2019-09-19,'8761,BREM ,BREM HOLDING BERHAD,,0.785,0.785,0.785,0.785,-,0,0.000 ,0.00%,,"59,100",0.725 - 0.855,4.00,5.10%,5.16,271.2M,15,2,0.49,0.785 / 0.795,3.20,34.41,,0.0,,"250,000 / 25,000",https://www.klsescreener.com/v2/stocks/view/8761/brem-holding-berhad
2019-09-19,'5198,AFUJIYA ,ABM FUJIYA BERHAD,,0.52,0.525,0.520,0.525,"8,000",1,+0.005 ,+0.96%,increasing,"27,300",0.385 - 0.710,0.00,0.00%,2.78,94.5M,19,1,0.60,0.505 / 0.530,3.20,64.64,,0.3,,"45,500 / 100,000",https://www.klsescreener.com/v2/stocks/view/5198/abm-fujiya-berhad
2019-09-19,'7199,KEINHIN ,KEIN HING INTERNATIONAL BERHAD,,0.5,0.500,0.500,0.500,-,0,0.000 ,0.00%,,"5,800",0.480 - 0.630,1.01,2.02%,3.25,54.5M,15,0,0.49,0.500 / 0.600,3.15,216.11,,0.0,,"10,000 / 5,000",https://www.klsescreener.com/v2/stocks/view/7199/kein-hing-international-berhad
2019-09-19,'5088,APEX ,APEX EQUITY HOLDINGS BERHAD,,0.78,0.780,0.780,0.780,-,0,0.000 ,0.00%,,"1,300",0.780 - 1.240,1.90,2.44%,4.75,166.6M,16,4,0.55,0.800 / 0.850,3.36,17.46,,0.0,,"10,000 / 5,000",https://www.klsescreener.com/v2/stocks/view/5088/apex-equity-holdings-berhad
2019-09-19,'4219,BJLAND ,BERJAYA LAND BERHAD,,0.20500000000000002,0.205,0.195,0.200,"1,974,700",1,-0.005 ,-2.44%,decreasing,"11,195,900",0.150 - 0.305,0.00,0.00%,2.63,"1,000.1M",8,0,0.24,0.195 / 0.200,3.13,113.97,,0.2,,"3,403,100 / 1,046,600",https://www.klsescreener.com/v2/stocks/view/4219/berjaya-land-berhad
2019-09-19,'2194,MMCCORP ,MMC CORPORATION BERHAD,,1.07,1.080,1.060,1.070,"341,800",0,0.000 ,0.00%,,"2,137,700",0.810 - 1.480,4.00,3.74%,9.18,"3,258.2M",12,1,0.36,1.070 / 1.080,3.10,161.02,,0.2,,"823,400 / 103,200",https://www.klsescreener.com/v2/stocks/view/2194/mmc-corporation-berhad
2019-09-19,'5095,HEVEA ,HEVEABOARD BERHAD,,0.535,0.535,0.520,0.520,"680,500",3,-0.015 ,-2.80%,decreasing,"600,200",0.510 - 0.925,3.60,6.92%,2.38,292.3M,22,1,0.68,0.520 / 0.525,3.09,76.09,,1.1,,"384,200 / 10,600",https://www.klsescreener.com/v2/stocks/view/5095/heveaboard-berhad
2019-09-19,'5134,SAB ,SOUTHERN ACIDS (M) BERHAD,,3.58,3.580,3.580,3.580,"1,000",0,0.000 ,0.00%,,"1,500",3.570 - 3.980,5.00,1.40%,13.83,497.1M,26,1,0.80,3.570 / 3.600,3.09,420.05,,0.7,,"2,000 / 1,000",https://www.klsescreener.com/v2/stocks/view/5134/southern-acids-m-berhad
2019-09-19,'7016,CHUAN ,CHUAN HUAT RESOURCES BHD,,0.435,0.430,0.420,0.425,"136,100",2,-0.010 ,-2.30%,decreasing,"48,400",0.230 - 0.500,1.10,2.59%,5.68,71.7M,7,0,0.23,0.420 / 0.425,3.09,438.46,,2.8,,"5,000 / 9,900",https://www.klsescreener.com/v2/stocks/view/7016/chuan-huat-resources-bhd
2019-09-19,'5225,IHH ,IHH HEALTHCARE BERHAD,,5.75,5.790,5.640,5.650,"1,651,500",10,-0.100 ,-1.74%,decreasing,"4,135,400",4.540 - 5.950,3.00,0.53%,7.75,"49,573.0M",73,4,2.23,5.640 / 5.650,3.06,151.52,,0.4,,"15,300 / 84,600",https://www.klsescreener.com/v2/stocks/view/5225/ihh-healthcare-berhad
2019-09-19,'5015,APM ,APM AUTOMOTIVE HOLDINGS BERHAD,,2.3200000000000003,2.430,2.330,2.430,"5,200",11,+0.110 ,+4.74%,increasing,"39,400",2.320 - 3.500,12.00,4.94%,19.36,489.9M,13,0,0.38,2.420 / 2.430,3.04,716.55,,0.1,,"100 / 1,400",https://www.klsescreener.com/v2/stocks/view/5015/apm-automotive-holdings-berhad
2019-09-19,'7232,RESINTC ,RESINTECH BERHAD,,0.34500000000000003,0.350,0.325,0.340,"205,400",1,-0.005 ,-1.45%,decreasing,"18,000",0.260 - 0.350,2.50,7.35%,3.06,46.7M,11,1,0.33,0.330 / 0.345,3.00,62.80,,11.4,,"19,000 / 11,800",https://www.klsescreener.com/v2/stocks/view/7232/resintech-berhad
2019-09-19,'7076,CBIP ,CB INDUSTRIAL PRODUCT HOLDING BERHAD,,0.825,0.825,0.815,0.815,"109,300",2,-0.010 ,-1.21%,decreasing,"262,700",0.815 - 1.250,2.00,2.45%,4.33,438.7M,19,1,0.57,0.815 / 0.835,3.01,68.75,,0.4,,"30,000 / 11,100",https://www.klsescreener.com/v2/stocks/view/7076/cb-industrial-product-holding-berhad
2019-09-19,'2224,SDRED ,SELANGOR DREDGING BERHAD,,0.625,0.630,0.620,0.625,"78,500",0,0.000 ,0.00%,,"34,800",0.600 - 0.755,2.00,3.20%,5.99,266.3M,10,1,0.31,0.625 / 0.635,2.98,59.84,,2.3,,"9,500 / 1,000",https://www.klsescreener.com/v2/stocks/view/2224/selangor-dredging-berhad
2019-09-19,'2305,AYER ,AYER HOLDINGS BERHAD,,4.180000000000001,4.200,4.090,4.200,"3,000",2,+0.020 ,+0.48%,increasing,900,4.020 - 5.200,5.00,1.19%,20.47,314.4M,21,4,0.61,4.120 / 4.200,2.98,93.96,,3.4,,"5,000 / 8,300",https://www.klsescreener.com/v2/stocks/view/2305/ayer-holdings-berhad
2019-09-19,'7223,JADI ,JADI IMAGING HOLDINGS BERHAD,,0.045000000000000005,0.050,0.045,0.050,"100,500",1,+0.005 ,+11.11%,increasing,"2,487,700",0.030 - 0.070,0.00,0.00%,0.38,51.8M,13,1,0.38,0.045 / 0.050,2.92,4.97,,0.0,,"6,426,200 / 1,515,300",https://www.klsescreener.com/v2/stocks/view/7223/jadi-imaging-holdings-berhad
2019-09-19,'8664,SPSETIA ,S P SETIA BERHAD,,1.47,1.480,1.430,1.470,"2,757,500",0,0.000 ,0.00%,,"2,012,100",1.390 - 2.820,13.38,9.10%,8.86,"5,942.4M",17,1,0.26,1.440 / 1.470,1.56,104.21,,1.4,,"254,900 / 264,900",https://www.klsescreener.com/v2/stocks/view/8664/s-p-setia-berhad
2019-09-19,'7803,RUBEREX ,RUBBEREX CORPORATION (M) BERHAD,,0.495,0.505,0.495,0.500,"66,600",1,+0.005 ,+1.01%,increasing,"88,600",0.420 - 0.610,2.00,4.00%,2.53,126.1M,20,1,0.58,0.500 / 0.520,2.94,97.98,,0.8,,"62,000 / 13,100",https://www.klsescreener.com/v2/stocks/view/7803/rubberex-corporation-m-berhad
2019-09-19,'4251,IBHD ,I-BERHAD,,0.3,0.305,0.305,0.305,"138,800",1,+0.005 ,+1.67%,increasing,"195,500",0.300 - 0.515,1.75,5.74%,2.88,309.4M,11,2,0.31,0.300 / 0.305,2.94,18.92,,0.7,,"284,700 / 23,800",https://www.klsescreener.com/v2/stocks/view/4251/i-berhad
2019-09-19,'6181,MALTON ,MALTON BERHAD,,0.495,0.490,0.485,0.490,"498,600",1,-0.005 ,-1.01%,decreasing,"1,404,400",0.390 - 0.695,0.00,0.00%,5.13,258.8M,10,0,0.28,0.485 / 0.490,2.93,188.90,,0.4,,"441,700 / 234,200",https://www.klsescreener.com/v2/stocks/view/6181/malton-berhad
2019-09-19,'3565,WCEHB ,WCE HOLDINGS BERHAD,,0.515,0.515,0.505,0.505,"142,300",2,-0.010 ,-1.94%,decreasing,"254,700",0.465 - 0.730,0.00,0.00%,2.06,506.4M,25,1,0.71,0.505 / 0.515,2.91,95.99,,0.6,,"348,400 / 26,000",https://www.klsescreener.com/v2/stocks/view/3565/wce-holdings-berhad
2019-09-19,'9121,KPSCB ,KPS CONSORTIUM BERHAD,,0.49,0.480,0.480,0.480,"15,000",2,-0.010 ,-2.04%,decreasing,"15,900",0.470 - 0.565,0.00,0.00%,5.25,71.0M,9,0,0.26,0.475 / 0.480,2.88,600.50,,0.9,,"30,500 / 9,000",https://www.klsescreener.com/v2/stocks/view/9121/kps-consortium-berhad
2019-09-19,'8117,POLY ,POLY GLASS FIBRE (M) BERHAD,,0.39,0.390,0.390,0.390,-,0,0.000 ,0.00%,,"2,900",0.260 - 0.490,0.00,0.00%,2.97,62.4M,13,1,0.38,0.340 / 0.400,2.87,43.37,,0.0,,"18,000 / 1,600",https://www.klsescreener.com/v2/stocks/view/8117/poly-glass-fibre-m-berhad
2019-09-19,'9679,WCT ,WCT HOLDINGS BERHAD,,0.93,0.930,0.925,0.930,"436,500",0,0.000 ,0.00%,,"3,390,600",0.660 - 1.220,0.00,0.00%,6.53,"1,318.8M",14,1,0.41,0.925 / 0.930,2.86,147.27,,0.1,,"201,400 / 53,700",https://www.klsescreener.com/v2/stocks/view/9679/wct-holdings-berhad
