Date,Code,Name,Price,Volume,Category,Board,52week,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),URL
2019-09-12,'5098,MALAYSIA STEEL WORKS (KL) BHD,0.425,9533,"Industrial Products & Services, Main Market",Main Market,0.345-0.645,-8.91,0.00,1.49,-4.77,0.00,-5.98,0.29,181.58,https://www.klsescreener.com/v2/stocks/view/5098/malaysia-steel-works-kl-bhd
2019-09-12,'7165,DWL RESOURCES BERHAD,0.570,6017,"Industrial Products & Services, Main Market",Main Market,0.485-1.700,-2.92,0.00,0.49,-19.53,0.00,-5.99,1.17,132.72,https://www.klsescreener.com/v2/stocks/view/7165/dwl-resources-berhad
2019-09-12,'8044,COMPUTER FORMS (MALAYSIA) BERHAD,1.110,0,"Industrial Products & Services, Main Market",Main Market,0.900-1.350,-6.81,0.00,1.12,-16.30,0.00,-6.08,0.99,45.51,https://www.klsescreener.com/v2/stocks/view/8044/computer-forms-malaysia-berhad
2019-09-12,'5037,COMPUGATES HOLDINGS BERHAD,0.015,600,"Industrial Products & Services, Main Market",Main Market,0.020-0.030,-0.25,0.00,0.04,-6.11,0.00,-6.14,0.38,36.72,https://www.klsescreener.com/v2/stocks/view/5037/compugates-holdings-berhad
2019-09-12,'7120,ACOUSTECH BERHAD,0.360,0,"Consumer Products & Services, Main Market",Main Market,0.340-0.470,-3.28,0.00,0.53,-10.98,0.00,-6.19,0.68,70.03,https://www.klsescreener.com/v2/stocks/view/7120/acoustech-berhad
2019-09-12,'1996,KRETAM HOLDINGS BERHAD,0.375,1400,"Plantation, Main Market",Main Market,0.370-0.440,-1.60,0.00,0.26,-23.51,0.00,-6.21,1.46,872.86,https://www.klsescreener.com/v2/stocks/view/1996/kretam-holdings-berhad
2019-09-12,'5657,PARKSON HOLDINGS BERHAD,0.215,9204,"Consumer Products & Services, Main Market",Main Market,0.200-0.430,-12.12,0.00,1.91,-1.77,0.00,-6.35,0.11,235.19,https://www.klsescreener.com/v2/stocks/view/5657/parkson-holdings-berhad
2019-09-12,'5009,WHITE HORSE BERHAD,1.140,0,"Industrial Products & Services, Main Market",Main Market,1.020-1.700,-19.15,0.00,3.01,-5.95,0.00,-6.36,0.38,273.60,https://www.klsescreener.com/v2/stocks/view/5009/white-horse-berhad
2019-09-12,'6874,KUB MALAYSIA BERHAD,0.340,2046,"Industrial Products & Services, Main Market",Main Market,0.225-0.510,-3.52,0.00,0.55,-9.67,0.00,-6.39,0.62,189.20,https://www.klsescreener.com/v2/stocks/view/6874/kub-malaysia-berhad
2019-09-12,'0143,KEY ASIC BERHAD,0.080,9060,"Technology, Main Market",Main Market,0.080-0.215,-0.21,0.00,0.03,-37.26,0.00,-6.41,2.39,76.05,https://www.klsescreener.com/v2/stocks/view/0143/key-asic-berhad
