Unnamed: 0,Buy,BuyVolume,Change,ChangePercentage,Close,Code,Company,Date,High,LACP,Low,Market,Open,Remark,Sector,Sell,SellVolume,Time,Volume,BursaURL,MarketStatus,TickSize,TickSizeRemark
32,3.970,"1,129",-0.010,-0.25,3.970,'1015,AMMB HOLDINGS BERHAD,23 Oct 2019,3.990,3.98,3.940,MAIN MARKET,3.990,s,FINANCIAL SERVICES,3.980,350,05:00PM,"10,812",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1015,MarketGapUp,2.0000000000000018,
33,0.615,170,0.000,0.00,-,'7031,AMTEL HOLDINGS BERHAD,23 Oct 2019,-,0.615,-,MAIN MARKET,-,s,TELECOMMUNICATIONS & MEDIA,-,-,05:00PM,0,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7031,MarketClosed,0.0,
34,1.100,130,0.030,+2.75,1.120,'5959,AMVERTON BERHAD,23 Oct 2019,1.130,1.09,1.090,MAIN MARKET,1.100,s,PROPERTY,1.120,170,05:00PM,"2,191",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5959,MarketGapUp,2.0000000000000018,
35,5.580,69,-0.010,-0.18,5.610,'6351,AMWAY (MALAYSIA) HOLDINGS BERHAD,23 Oct 2019,5.610,5.62,5.590,MAIN MARKET,5.610,s,CONSUMER PRODUCTS & SERVICES,5.610,14,05:00PM,420,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6351,MarketGapDown,0.0,
36,1.100,110,0.000,0.00,-,'7083,ANALABS RESOURCES BERHAD,23 Oct 2019,-,1.1,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,1.250,405,05:00PM,0,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7083,MarketClosed,0.0,
37,0.480,600,-0.005,-1.01,0.490,'4758,ANCOM BERHAD,23 Oct 2019,0.490,0.495,0.480,MAIN MARKET,0.480,s,INDUSTRIAL PRODUCTS & SERVICES,0.495,400,05:00PM,"1,200",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4758,MarketGapDown,2.0000000000000018,
38,1.130,39,0.020,+1.79,1.140,'6556,ANN JOO RESOURCES BERHAD,23 Oct 2019,1.140,1.12,1.120,MAIN MARKET,1.130,s,INDUSTRIAL PRODUCTS & SERVICES,1.140,730,05:00PM,"2,915",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6556,MarketGapUp,1.0000000000000009,
39,0.015,"367,476",0.005,+33.33,0.020,'9342,ANZO HOLDINGS BERHAD,23 Oct 2019,0.020,0.015,0.020,MAIN MARKET,0.020,s,INDUSTRIAL PRODUCTS & SERVICES,0.020,"15,204",05:00PM,"9,000",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9342,MarketGapUp,0.0,
40,0.425,200,-0.010,-2.27,0.430,'5568,APB RESOURCES BERHAD,23 Oct 2019,0.435,0.44,0.430,MAIN MARKET,0.435,s,INDUSTRIAL PRODUCTS & SERVICES,0.480,60,05:00PM,900,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5568,MarketGapDown,1.0000000000000009,
41,0.780,50,-0.010,-1.25,0.790,'5088,APEX EQUITY HOLDINGS BERHAD,23 Oct 2019,0.800,0.8,0.790,MAIN MARKET,0.800,s,FINANCIAL SERVICES,0.860,80,05:00PM,77,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5088,MarketNoChange,2.0000000000000018,
42,2.180,"3,230",0.000,0.00,2.180,'7090,APEX HEALTHCARE BERHAD,23 Oct 2019,2.180,2.18,2.160,MAIN MARKET,2.180,s,HEALTH CARE,2.190,50,05:00PM,"1,421",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7090,MarketNoChange,0.0,
43,0.005,"526,789",0.000,0.00,0.010,'5194,APFT BERHAD,23 Oct 2019,0.010,0.01,0.010,MAIN MARKET,0.010,s,CONSUMER PRODUCTS & SERVICES,0.010,"31,623",05:00PM,"3,570",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5194,MarketNoChange,0.0,
44,2.140,25,-0.030,-1.37,2.160,'5015,APM AUTOMOTIVE HOLDINGS BERHAD,23 Oct 2019,2.190,2.19,2.150,MAIN MARKET,2.190,s,INDUSTRIAL PRODUCTS & SERVICES,2.160,41,05:00PM,"1,604",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5015,MarketNoChange,2.9999999999999805,
45,3.880,1,0.040,+1.04,3.900,'6432,APOLLO FOOD HOLDINGS BERHAD,23 Oct 2019,3.900,3.86,3.860,MAIN MARKET,3.860,s,CONSUMER PRODUCTS & SERVICES,3.900,10,05:00PM,70,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6432,MarketNoChange,4.0000000000000036,
46,0.340,220,-0.005,-1.45,0.340,'7181,ARB BERHAD,23 Oct 2019,0.355,0.345,0.340,MAIN MARKET,0.350,s,INDUSTRIAL PRODUCTS & SERVICES,0.345,"5,460",05:00PM,"43,307",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7181,MarketGapUp,1.9999999999999907,
47,0.250,150,0.000,0.00,-,'7007,ARK RESOURCES HOLDINGS BERHAD,23 Oct 2019,-,0.255,-,MAIN MARKET,-,s,PROPERTY,0.500,161,05:00PM,0,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7007,MarketClosed,0.0,
48,0.480,40,0.000,0.00,-,'7722,ASIA BRANDS BERHAD,23 Oct 2019,-,0.5,-,MAIN MARKET,-,s,CONSUMER PRODUCTS & SERVICES,0.500,60,05:00PM,0,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7722,MarketClosed,0.0,
49,2.330,18,0.000,0.00,2.330,'7129,ASIA FILE CORPORATION BHD,23 Oct 2019,2.330,2.33,2.330,MAIN MARKET,2.330,s,CONSUMER PRODUCTS & SERVICES,2.370,20,05:00PM,150,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7129,MarketNoChange,0.0,
50,-,-,0.000,0.00,-,'0159,ASIA MEDIA GROUP BERHAD,23 Oct 2019,-,0.135,-,MAIN MARKET,-,Ss,TELECOMMUNICATIONS & MEDIA,-,-,05:00PM,0,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0159,MarketClosed,0.0,
51,0.115,"12,324",0.000,0.00,0.115,'4057,ASIAN PAC HOLDINGS BERHAD,23 Oct 2019,0.120,0.115,0.115,MAIN MARKET,0.115,s,PROPERTY,0.120,"12,425",05:00PM,"5,511",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4057,MarketNoChange,0.0,
52,0.675,80,-0.025,-3.57,0.675,'7162,ASTINO BERHAD,23 Oct 2019,0.700,0.7,0.660,MAIN MARKET,0.670,s,INDUSTRIAL PRODUCTS & SERVICES,0.700,235,05:00PM,260,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7162,MarketGapDown,1.0000000000000009,
