Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL,MarketStatus,TickSize,TickSizeRemark
MAIN MARKET,PROPERTY,'5053,0.000,0.00,"3,818","1,000",0.940,0.950,315,0.95,0.950,0.950,0.945,s,28 Nov 2019,05:00PM,0.950,OSK HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5053,MarketNoChange,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7225,-0.005,-7.14,"85,685","147,843",0.060,0.065,"69,093",0.07,0.065,0.065,0.060,s,28 Nov 2019,05:00PM,0.065,P.A. RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7225,MarketGapDown,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7095,-0.020,-1.39,"1,003",178,1.420,1.430,25,1.44,1.440,1.440,1.420,s,28 Nov 2019,05:00PM,1.420,P.I.E. INDUSTRIAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7095,MarketNoChange,2.0000000000000018,
MAIN MARKET,FINANCIAL SERVICES,'6009,0.010,+1.04,502,28,0.960,0.970,570,0.96,0.960,0.975,0.960,s,28 Nov 2019,05:00PM,0.970,PACIFIC & ORIENT BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6009,MarketNoChange,2.0000000000000018,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7052,-0.050,-1.44,"6,488",88,3.400,3.430,15,3.48,3.510,3.530,3.390,s,28 Nov 2019,05:00PM,3.430,PADINI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7052,MarketGapUp,7.999999999999963,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'4081,0.005,+3.70,200,"5,980",0.130,0.140,20,0.135,0.140,0.140,0.140,s,28 Nov 2019,05:00PM,0.140,PAN MALAYSIA CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4081,MarketGapUp,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1287,0.000,0.00,"1,240","22,000",0.065,0.070,"1,010",0.07,0.070,0.070,0.070,s,28 Nov 2019,05:00PM,0.070,PAN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1287,MarketNoChange,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'3719,0.000,0.00,123,60,37.100,37.220,11,37.1,37.080,37.120,37.080,s,28 Nov 2019,05:00PM,37.100,PANASONIC MANUFACTURING MALAYSIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3719,MarketGapDown,0.0,OpenAndClosePriceMismatch
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'8419,0.000,0.00,"30,938","4,640",0.570,0.580,"1,872",0.575,0.575,0.585,0.575,s,28 Nov 2019,05:00PM,0.575,PANSAR BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8419,MarketNoChange,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5125,-0.005,-1.01,"5,914","1,250",0.485,0.490,20,0.495,0.495,0.495,0.490,s,28 Nov 2019,05:00PM,0.490,PANTECH GROUP HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5125,MarketNoChange,1.0000000000000009,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5022,0.000,0.00,0,100,0.330,0.360,30,0.33,-,-,-,s,28 Nov 2019,05:00PM,-,PAOS HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5022,MarketClosed,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'3611,0.000,0.00,0,30,0.970,0.990,30,0.98,-,-,-,s,28 Nov 2019,05:00PM,-,PARAGON GLOBE BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3611,MarketClosed,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'9407,0.000,0.00,0,100,0.240,0.260,85,0.26,-,-,-,s,28 Nov 2019,05:00PM,-,PARAGON UNION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9407,MarketClosed,0.0,
MAIN MARKET,PROPERTY,'1724,0.000,0.00,"5,287",200,1.250,1.260,723,1.26,1.270,1.270,1.250,s,28 Nov 2019,05:00PM,1.260,PARAMOUNT CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1724,MarketGapUp,0.0,OpenAndClosePriceMismatch
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5657,-0.010,-4.00,"4,130","1,670",0.235,0.240,"1,620",0.25,0.240,0.240,0.235,s,28 Nov 2019,05:00PM,0.240,PARKSON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5657,MarketGapDown,0.0,
