name,full_name,symbol
Innoprise Plantations,Innoprise Plantations Bhd,INNO
Insas,Insas Bhd,INSS
IOI Properties,IOI Properties Group Bhd,IOIP
Ipmuda,Ipmuda Bhd,IPMU
IQ,IQ Group Holdings Bhd,IQGH
Ire Tex Corp,Ire Tex Corporation Bhd,IREE
Ireka Corp,Ireka Corporation Bhd,IRKA
Comfort Gloves,Comfort Gloves Bhd,COMF
Ideal United Bintang,Ideal United Bintang Bhd,IUBN
Ivory Properties,Ivory Properties Group Bhd,IVRY
Iskandar Waterfront City,Iskandar Waterfront City Bhd,IWCI
Jadi Imaging,Jadi Imaging Holdings Bhd,JADI
JAKS Resources,JAKS Resources Bhd,JAKS
Jaycorp,Jaycorp Bhd,JAYC
Jerasia Capital,Jerasia Capital Bhd,JERA
Kumpulan Jetson,Kumpulan Jetson Bhd,JETS
Johan,Johan Holdings Bhd,JHHS
Johore Tin,Johore Tin Bhd,JHTN
Jiankun Int,Jiankun International Bhd,JIAN
Jasa Kita,Jasa Kita Bhd,JKBM
JMR Conglomeration,JMR Conglomeration Bhd,JADE
JCBNext Berhad,JCBNext Berhad Bhd,JCBN
Jaya Tiasa,Jaya Tiasa Holdings Bhd,JTIA
GETS Global,GETS Global Bhd,GETS
Kuchai Develop,Kuchai Develop Bhd,KCDS
Ken,Ken Holdings Bhd,KENH
KESM Industries,KESM Industries Bhd,KESM
WCE Holdings,WCE Holdings Bhd,WCEH
Kumpulan Fima,Kumpulan Fima Bhd,KFIM
Kuantan Flour Mills,Kuantan Flour Mills Bhd,LOTU
Khee San,Khee San Bhd,KHEE
Khind,Khind Holdings Bhd,KHIN
Kimlun Corp,Kimlun Corporation Bhd,KICB
Kim Loong Resources,Kim Loong Resources Bhd,KIML
JKG Land,JKG Land Bhd,JKGL
Kluang Rubber,Kluang Rubber Company Malaya,KLRK
Kamdar,Kamdar Group (Malaysia) Bhd,KMDA
K N Kenanga,K N Kenanga Holdings Bhd,KNNK
Knusford,Knusford Bhd,KNUS
Kobay Tech,Kobay Tech Bhd,KOBA
Kotra Industries,Kotra Industries Bhd,KOIN
Kumpulan Perangsang Selangor,Kumpulan Perangsang Selangor,KPSB
KPS Consortium,KPS Consortium Bhd,KPSC
Karambunai Corp,Karambunai Corp Bhd,KRBN
Kretam,Kretam Holdings Bhd,KREK
KSL,KSL Holdings Bhd,KSLH
K Seng Seng Corp,K Seng Seng Corporation Bhd,KSSC
Konsortium Transnasional,Konsortium Transnasional Bhd,KSTM
K Star Sports,K Star Sports Ltd,KSTR
KUB Malaysia,KUB Malaysia Bhd,KUBM
Kwantas Corp,Kwantas Corporation Bhd,KWAN
Kawan Food,Kawan Food Bhd,KWNF
Key ASIC,Key ASIC Bhd,KYAC
Land General,Land General Bhd,LAND
Lay Hong,Lay Hong Bhd,LAYH
LBI Capital,LBI Capital Bhd,LBIP
LBS Bina,LBS Bina Group Bhd,LBSB
Luxchem Corp,Luxchem Corporation Bhd,LCBH
Sand Nisko,Sand Nisko Capital Bhd,SAND
Lebtech,Lebtech Bhd,LEBT
Leon Fuat,Leon Fuat Bhd,LEON
LFE Corp,LFE Corporation Bhd,LFEC
Lien Hoe Corp,Lien Hoe Corporation Bhd,LHCK
Lii Hen Industries,Lii Hen Industries Bhd,LHEN
Lee Swee Kiat,Lee Swee Kiat Group Bhd,LHTM
Lion Forest Ind,Lion Forest Industries Bhd,LIOF
London Biscuits,London Biscuits Bhd,LONB
LPI Capital,LPI Capital Bhd,LOND
Latitude Tree,Latitude Tree Holdings Bhd,LTHB
LTKM,LTKM Bhd,LTKM
MAA,MAA Group Bhd,MAAS
Minda Global,Minda Global Bhd,MIND
Magna Prima,Magna Prima Bhd,MAGN
Managepay Systems,Managepay Systems Bhd,MANS
Magni Tech Ind,Magni Tech Industries Bhd,MATE
Matrix Concepts,Matrix Concepts Holdings Bhd,MATR
Maxwell Int,Maxwell International Holdings,MAXW
MClean Technologies,MClean Technologies Bhd,MCLN
Gw Plastics,Gw Plastics Holdings Bhd,MCTB
Meridian,Meridian Bhd,MERI
Mega First Corp,Mega First Corporation Bhd,MEGA
