Unnamed: 0,Buy,BuyVolume,Change,ChangePercentage,Close,Code,Company,Date,High,LACP,Low,Market,Open,Remark,Sector,Sell,SellVolume,Time,Volume,BursaURL
119,6.300,299,-,-,-,'1929,CHIN TECK PLANTATIONS BERHAD,25 Oct 2019,-,6.3,-,MAIN MARKET,-,s,PLANTATION,6.440,10,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1929
120,1.650,570,-0.010,-0.60,1.650,'5007,CHIN WELL HOLDINGS BERHAD,25 Oct 2019,1.660,1.66,1.650,MAIN MARKET,1.650,s,INDUSTRIAL PRODUCTS & SERVICES,1.660,140,05:00PM,"1,183",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5007
121,-,-,-,-,-,'5229,CHINA AUTOMOBILE PARTS HOLDINGS LIMITED,25 Oct 2019,-,0.01,-,MAIN MARKET,-,Ss,INDUSTRIAL PRODUCTS & SERVICES,-,-,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5229
122,0.035,"39,086",-,-,0.040,'5188,CHINA OUHUA WINERY HOLDINGS LIMITED,25 Oct 2019,0.045,0.04,0.040,MAIN MARKET,0.040,s,CONSUMER PRODUCTS & SERVICES,0.040,"1,000",05:00PM,"25,640",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5188
123,1.320,50,-,-,-,'5797,CHOO BEE METAL INDUSTRIES BHD,25 Oct 2019,-,1.33,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,1.440,57,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5797
124,0.360,50,-,-,-,'7016,CHUAN HUAT RESOURCES BHD,25 Oct 2019,-,0.38,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,0.390,50,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7016
125,4.950,"2,962",-0.030,-0.60,4.950,'1023,CIMB GROUP HOLDINGS BERHAD,25 Oct 2019,4.990,4.98,4.950,MAIN MARKET,4.960,s,FINANCIAL SERVICES,4.960,677,05:00PM,"71,156",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1023
126,0.380,547,-0.005,-1.27,0.390,'7117,CJ CENTURY LOGISTICS HOLDINGS BERHAD,25 Oct 2019,0.410,0.395,0.380,MAIN MARKET,0.395,s,TRANSPORTATION & LOGISTICS,0.395,424,05:00PM,"2,445",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7117
127,0.995,37,-,-,1.000,'7202,CLASSIC SCENIC BERHAD,25 Oct 2019,1.000,1.0,1.000,MAIN MARKET,1.000,s,CONSUMER PRODUCTS & SERVICES,1.010,80,05:00PM,50,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7202
128,0.035,"11,191",-,-,-,'7018,CME GROUP BERHAD,25 Oct 2019,-,0.035,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,0.040,"9,906",05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7018
129,0.405,16,-0.045,-10.00,0.405,'7986,CN ASIA CORPORATION BHD,25 Oct 2019,0.440,0.45,0.400,MAIN MARKET,0.400,s,INDUSTRIAL PRODUCTS & SERVICES,0.440,13,05:00PM,34,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7986
130,0.060,59,0.005,+8.33,0.065,'5104,CNI HOLDINGS BERHAD,25 Oct 2019,0.065,0.06,0.060,MAIN MARKET,0.060,s,CONSUMER PRODUCTS & SERVICES,0.065,"10,535",05:00PM,"1,381",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5104
131,1.170,267,-0.030,-2.50,1.170,'5071,COASTAL CONTRACTS BHD,25 Oct 2019,1.180,1.2,1.150,MAIN MARKET,1.170,s,ENERGY,1.190,260,05:00PM,"1,410",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5071
132,2.000,50,-0.010,-0.50,2.010,'7205,COCOALAND HOLDINGS BERHAD,25 Oct 2019,2.040,2.02,2.010,MAIN MARKET,2.020,s,CONSUMER PRODUCTS & SERVICES,2.050,80,05:00PM,760,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7205
133,0.775,42,0.005,+0.65,0.775,'2127,COMFORT GLOVES BERHAD,25 Oct 2019,0.775,0.77,0.765,MAIN MARKET,0.770,s,INDUSTRIAL PRODUCTS & SERVICES,0.780,500,05:00PM,"1,621",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2127
134,0.065,100,0.020,+33.33,0.080,'7195,COMINTEL CORPORATION BHD,25 Oct 2019,0.080,0.06,0.080,MAIN MARKET,0.080,s,INDUSTRIAL PRODUCTS & SERVICES,0.080,"1,179",05:00PM,5,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7195
135,0.690,50,-0.005,-0.72,0.690,'5136,COMPLETE LOGISTIC SERVICES BERHAD,25 Oct 2019,0.695,0.695,0.690,MAIN MARKET,0.695,s,TRANSPORTATION & LOGISTICS,0.695,20,05:00PM,130,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5136
136,0.015,"335,794",-,-,0.020,'5037,COMPUGATES HOLDINGS BERHAD,25 Oct 2019,0.020,0.02,0.020,MAIN MARKET,0.020,s,INDUSTRIAL PRODUCTS & SERVICES,0.020,"13,471",05:00PM,"1,000",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5037
137,1.100,125,-,-,-,'8044,COMPUTER FORMS (MALAYSIA) BERHAD,25 Oct 2019,-,1.1,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,-,-,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8044
138,0.490,57,-,-,-,'8435,CONCRETE ENGINEERING PRODUCTS BERHAD,25 Oct 2019,-,0.53,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,0.530,109,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8435
139,1.280,46,0.120,+9.45,1.390,'5738,COUNTRY HEIGHTS HOLDINGS BHD,25 Oct 2019,1.390,1.27,1.390,MAIN MARKET,1.390,s,PROPERTY,1.330,23,05:00PM,200,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5738
140,1.380,2,-,-,-,'5049,COUNTRY VIEW BERHAD,25 Oct 2019,-,1.25,-,MAIN MARKET,-,s,PROPERTY,1.590,50,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5049
141,1.210,20,-,-,1.220,'6718,CRESCENDO CORPORATION BERHAD,25 Oct 2019,1.220,1.22,1.220,MAIN MARKET,1.220,s,PROPERTY,1.230,330,05:00PM,250,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6718
142,0.935,370,-0.005,-0.53,0.935,'8591,CREST BUILDER HOLDINGS BERHAD,25 Oct 2019,0.945,0.94,0.935,MAIN MARKET,0.940,s,CONSTRUCTION,0.945,366,05:00PM,"3,036",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8591
143,0.990,130,-,-,-,'5094,CSC STEEL HOLDINGS BERHAD,25 Oct 2019,-,0.995,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,1.000,260,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5094
144,0.165,"14,990",-0.005,-2.94,0.165,'0051,CUSCAPI BERHAD,25 Oct 2019,0.175,0.17,0.165,MAIN MARKET,0.175,s,TECHNOLOGY,0.170,"18,192",05:00PM,"68,520",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0051
145,0.440,50,-0.005,-1.12,0.440,'9423,CWG HOLDINGS BERHAD,25 Oct 2019,0.440,0.445,0.405,MAIN MARKET,0.440,s,CONSUMER PRODUCTS & SERVICES,0.460,300,05:00PM,"1,591",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9423
