,BoardType,Name,Code,BursaURL,Page
025,main_market,ALLIANCE BANK MALAYSIA BERHAD,'2488,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2488,http://www.alliancebank.com.my/
026,main_market,ALLIANZ MALAYSIA BERHAD,'1163,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1163,http://www.allianz.com.my
027,main_market,AMALGAMATED INDUSTRIAL STEEL BERHAD,'2682,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2682,http://www.aisberhad.com.my
028,main_market,AMANAH HARTA TANAH PNB,'4952,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4952,http://www.ahp.com.my
029,main_market,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,'5127,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5127,http://www.arrm.com.my
030,main_market,AMCORP PROPERTIES BERHAD,'1007,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1007,http://www.amcorpproperties.com
031,main_market,AME ELITE CONSORTIUM BERHAD,'5293,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5293,https://ame-elite.com/
032,main_market,AMFIRST REAL ESTATE INVESTMENT TRUST,'5120,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5120,http://www.amfirstreit.com.my
033,main_market,AMMB HOLDINGS BERHAD,'1015,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1015,http://www.ambankgroup.com
034,main_market,AMTEL HOLDINGS BERHAD,'7031,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7031,http://www.amtel.com.my
035,main_market,AMVERTON BERHAD,'5959,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5959,http://www.amverton.com/
036,main_market,AMWAY (MALAYSIA) HOLDINGS BERHAD,'6351,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6351,http://www.amway2u.com
037,main_market,ANALABS RESOURCES BERHAD,'7083,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7083,http://www.analabs.com.my
038,main_market,ANCOM BERHAD,'4758,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4758,http://www.ancom.com.my
039,main_market,ANN JOO RESOURCES BERHAD,'6556,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6556,http://www.annjoo.com.my
040,main_market,ANZO HOLDINGS BERHAD,'9342,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9342,http://www.harvestcourt.com
041,main_market,APB RESOURCES BERHAD,'5568,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5568,http://www.apb-resources.com
042,main_market,APEX EQUITY HOLDINGS BERHAD,'5088,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5088,http://www.apexequity.com.my/cms/main.php
043,main_market,APEX HEALTHCARE BERHAD,'7090,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7090,http://www.apexhealthcare.com.my/
044,main_market,APFT BERHAD,'5194,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5194,http://www.apft.com.my
045,main_market,APM AUTOMOTIVE HOLDINGS BERHAD,'5015,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5015,http://www.apm-automotive.com
046,main_market,APOLLO FOOD HOLDINGS BERHAD,'6432,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6432,http://www.apollofood.com.my
047,main_market,ARB BERHAD,'7181,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7181,http://www.aturmaju.com.my/
048,main_market,ARK RESOURCES HOLDINGS BERHAD,'7007,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7007,http://www.ark-resources.com.my
049,main_market,ASIA BRANDS BERHAD,'7722,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7722,http://www.asiabrands.com.my
050,main_market,ASIA FILE CORPORATION BHD,'7129,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7129,http://www.asia-file.com
051,main_market,ASIA MEDIA GROUP BERHAD,'0159,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0159,http://www.asiamedia.net.my
