Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-09-17,'7167,JOHOTIN ,JOHORE TIN BERHAD,,1.3699999999999999,1.390,1.370,1.380,"141,900",1,+0.010 ,+0.73%,increasing,"352,700",0.835 - 1.600,6.50,4.71%,15.73,428.4M,9,1,1.33,1.380 / 1.390,15.13,181.72,,0.4,,"49,800 / 29,100",https://www.klsescreener.com/v2/stocks/view/7167/johore-tin-berhad
2019-09-17,'5236,MATRIX ,MATRIX CONCEPTS HOLDINGS BERHAD,,1.94,1.950,1.930,1.930,"251,600",1,-0.010 ,-0.52%,decreasing,"618,600",1.830 - 2.120,11.63,6.03%,27.34,"1,566.8M",7,1,1.13,1.930 / 1.940,16.01,131.36,,0.4,,"25,800 / 39,900",https://www.klsescreener.com/v2/stocks/view/5236/matrix-concepts-holdings-berhad
2019-09-17,'7155,SKPRES ,SKP RESOURCES BHD,,1.07,1.080,1.060,1.060,"1,058,000",1,-0.010 ,-0.93%,decreasing,"817,200",0.945 - 1.450,3.84,3.62%,7.22,"1,325.2M",15,1,2.21,1.060 / 1.070,15.04,127.73,,1.3,,"278,400 / 152,000",https://www.klsescreener.com/v2/stocks/view/7155/skp-resources-bhd
2019-09-17,'3743,SUNSURIA ,SUNSURIA BERHAD,,0.6950000000000001,0.655,0.655,0.655,"15,400",8,-0.040 ,-5.76%,decreasing,"38,400",0.580 - 0.950,0.00,0.00%,15.69,586.8M,4,1,0.62,0.655 / 0.690,14.94,62.86,,0.4,,"7,100 / 10,000",https://www.klsescreener.com/v2/stocks/view/3743/sunsuria-berhad
2019-09-17,'7088,POHUAT ,POH HUAT RESOURCES HOLDINGS BERHAD,,1.5,1.510,1.490,1.510,"212,900",1,+0.010 ,+0.67%,increasing,"156,600",1.300 - 1.640,6.00,3.97%,22.75,364.0M,7,1,0.99,1.500 / 1.510,14.88,281.46,,1.4,,"24,300 / 6,400",https://www.klsescreener.com/v2/stocks/view/7088/poh-huat-resources-holdings-berhad
2019-09-17,'5183,PCHEM ,PETRONAS CHEMICALS GROUP BERHAD,,7.409999999999999,7.770,7.600,7.770,"14,303,000",36,+0.360 ,+4.86%,increasing,"5,798,100",6.750 - 10.200,29.00,3.73%,55.80,"62,160.0M",14,3,2.07,7.770 / 7.780,14.84,229.49,,2.5,,"277,200 / 14,400",https://www.klsescreener.com/v2/stocks/view/5183/petronas-chemicals-group-berhad
2019-09-17,'7668,HAIO ,HAI-O ENTERPRISE BERHAD,,2.39,2.480,2.360,2.430,"961,000",4,+0.040 ,+1.67%,increasing,"234,700",2.110 - 4.200,13.00,5.35%,15.79,729.7M,15,2,2.27,2.400 / 2.430,14.76,109.34,,4.1,,"400 / 2,200",https://www.klsescreener.com/v2/stocks/view/7668/hai-o-enterprise-berhad
2019-09-17,'5277,FPGROUP ,FOUNDPAC GROUP BERHAD,,0.39,0.395,0.385,0.385,"7,925,300",1,-0.005 ,-1.28%,decreasing,"3,410,000",0.205 - 0.400,0.99,2.57%,2.27,200.2M,17,4,2.49,0.385 / 0.390,14.69,8.64,,2.3,,"691,600 / 418,800",https://www.klsescreener.com/v2/stocks/view/5277/foundpac-group-berhad
2019-09-17,'9296,RCECAP ,RCE CAPITAL BERHAD,,1.57,1.580,1.570,1.580,"99,600",1,+0.010 ,+0.64%,increasing,"209,500",1.380 - 1.720,9.00,5.70%,26.15,582.8M,6,2,0.89,1.570 / 1.580,14.69,72.19,,0.5,,"46,900 / 33,600",https://www.klsescreener.com/v2/stocks/view/9296/rce-capital-berhad
2019-09-17,'5219,PESTECH ,PESTECH INTERNATIONAL BERHAD,,1.26,1.280,1.250,1.260,"601,400",0,0.000 ,0.00%,,"2,097,100",0.950 - 1.570,0.00,0.00%,10.50,963.0M,12,1,1.73,1.260 / 1.270,14.43,105.99,,0.3,,"22,200 / 38,800",https://www.klsescreener.com/v2/stocks/view/5219/pestech-international-berhad
2019-09-17,'7277,DIALOG ,DIALOG GROUP BERHAD,,3.49,3.550,3.470,3.500,"7,430,100",1,+0.010 ,+0.29%,increasing,"8,958,400",2.720 - 3.660,1.50,0.43%,9.50,"19,745.7M",37,8,5.21,3.480 / 3.500,14.14,42.30,,0.8,,"151,300 / 716,300",https://www.klsescreener.com/v2/stocks/view/7277/dialog-group-berhad
2019-09-17,'7176,TPC ,TPC PLUS BERHAD,,0.32,0.320,0.320,0.320,-,0,0.000 ,0.00%,,"30,800",0.300 - 0.460,0.00,0.00%,5.64,74.8M,6,0,0.80,0.310 / 0.320,14.10,98.78,,0.0,,"5,000 / 10,000",https://www.klsescreener.com/v2/stocks/view/7176/tpc-plus-berhad
2019-09-17,'9822,SAM ,SAM ENGINEERING & EQUIPMENT (M) BERHAD,,8.0,8.100,8.040,8.060,"95,700",6,+0.060 ,+0.75%,increasing,"43,800",7.200 - 8.680,29.05,3.60%,58.54,"1,089.4M",14,1,1.93,8.050 / 8.060,14.04,570.67,,2.2,,"2,000 / 900",https://www.klsescreener.com/v2/stocks/view/9822/sam-engineering-equipment-m-berhad
2019-09-17,'3484,DBHD ,DAMANSARA REALTY BHD,,0.41,0.415,0.405,0.410,"49,200",0,0.000 ,0.00%,,"299,400",0.220 - 0.565,0.00,0.00%,7.75,130.5M,5,0,0.74,0.410 / 0.415,14.04,93.88,,0.2,,"13,600 / 10,000",https://www.klsescreener.com/v2/stocks/view/3484/damansara-realty-bhd
2019-09-17,'9172,FPI ,FORMOSA PROSONIC INDUSTRIES BERHAD,,1.64,1.650,1.640,1.650,"125,400",1,+0.010 ,+0.61%,increasing,"121,700",1.320 - 2.070,10.00,6.06%,16.08,408.1M,10,1,1.43,1.640 / 1.650,13.98,271.37,,1.0,,"80,800 / 15,000",https://www.klsescreener.com/v2/stocks/view/9172/formosa-prosonic-industries-berhad
2019-09-17,'6033,PETGAS ,PETRONAS GAS BERHAD,,16.240000000000002,16.720,16.240,16.420,"1,253,000",9,+0.180 ,+1.11%,increasing,"578,900",14.740 - 19.680,72.00,4.38%,92.79,"32,490.8M",18,6,2.47,16.400 / 16.420,13.94,279.82,,2.2,,"158,500 / 30,900",https://www.klsescreener.com/v2/stocks/view/6033/petronas-gas-berhad
2019-09-17,'7090,AHEALTH ,APEX HEALTHCARE BERHAD,,2.0,2.020,1.990,2.000,"1,422,500",0,0.000 ,0.00%,,"107,400",1.970 - 9.830,3.44,1.72%,11.94,943.3M,17,1,2.33,2.000 / 2.050,13.88,141.17,,13.2,,"244,100 / 6,000",https://www.klsescreener.com/v2/stocks/view/7090/apex-healthcare-berhad
2019-09-17,'7161,KERJAYA ,KERJAYA PROSPEK GROUP BERHAD,,1.4,1.410,1.400,1.410,"177,800",1,+0.010 ,+0.71%,increasing,"298,600",0.990 - 1.490,2.00,1.42%,11.42,"1,751.2M",12,2,1.72,1.410 / 1.420,13.90,85.25,,0.6,,"53,500 / 16,200",https://www.klsescreener.com/v2/stocks/view/7161/kerjaya-prospek-group-berhad
2019-09-17,'7248,SLP ,SLP RESOURCES BERHAD,,1.4,1.400,1.380,1.400,"4,000",0,0.000 ,0.00%,,"103,600",0.855 - 1.420,4.00,2.86%,7.94,443.7M,18,2,2.40,1.330 / 1.400,13.60,58.63,,0.0,,"3,000 / 3,000",https://www.klsescreener.com/v2/stocks/view/7248/slp-resources-berhad
2019-09-17,'5245,CARING ,CARING PHARMACY GROUP BERHAD,,2.25,2.240,2.240,2.240,"5,000",1,-0.010 ,-0.44%,decreasing,"28,900",1.510 - 2.300,0.00,0.00%,9.52,487.7M,24,1,3.20,2.170 / 2.240,13.60,265.83,,0.2,,"2,000 / 10,000",https://www.klsescreener.com/v2/stocks/view/5245/caring-pharmacy-group-berhad
2019-09-17,'4731,SCIENTX ,SCIENTEX BERHAD,,8.34,8.460,8.340,8.340,"26,200",0,0.000 ,0.00%,,"201,700",8.110 - 9.480,20.00,2.40%,56.01,"4,297.3M",15,1,2.00,8.340 / 8.440,13.43,590.35,,0.1,,"6,900 / 100",https://www.klsescreener.com/v2/stocks/view/4731/scientex-berhad
2019-09-17,'5147,SAMCHEM ,SAMCHEM HOLDINGS BERHAD,,0.59,0.590,0.580,0.580,"24,500",2,-0.010 ,-1.69%,decreasing,"160,800",0.550 - 0.965,2.00,3.45%,7.48,157.8M,8,0,1.04,0.585 / 0.590,13.36,386.44,,0.2,,"7,000 / 7,000",https://www.klsescreener.com/v2/stocks/view/5147/samchem-holdings-berhad
2019-09-17,'0151,KGB ,KELINGTON GROUP BERHAD,,1.26,1.280,1.250,1.270,"343,600",1,+0.010 ,+0.79%,increasing,"489,500",0.880 - 1.410,1.80,1.42%,6.35,395.6M,20,1,2.67,1.270 / 1.280,13.33,110.74,,0.7,,"1,900 / 11,000",https://www.klsescreener.com/v2/stocks/view/0151/kelington-group-berhad
2019-09-17,'5983,MBMR ,MBM RESOURCES BHD,,4.2700000000000005,4.270,4.160,4.160,"964,800",11,-0.110 ,-2.58%,decreasing,"1,354,700",1.860 - 4.470,15.00,3.61%,56.76,"1,626.1M",7,1,0.97,4.150 / 4.160,13.29,527.50,,0.7,,"7,500 / 35,000",https://www.klsescreener.com/v2/stocks/view/5983/mbm-resources-bhd
2019-09-17,'0168,BOILERM ,BOILERMECH HOLDINGS BERHAD,,0.58,0.590,0.575,0.580,"185,900",0,0.000 ,0.00%,,"290,100",0.500 - 0.790,2.00,3.45%,5.45,299.3M,11,1,1.41,0.570 / 0.580,13.29,46.76,,0.6,,"10,000 / 40,500",https://www.klsescreener.com/v2/stocks/view/0168/boilermech-holdings-berhad
2019-09-17,'5258,BIMB ,BIMB HOLDINGS BERHAD,,3.9400000000000004,3.970,3.940,3.970,"49,300",3,+0.030 ,+0.76%,increasing,"730,900",3.400 - 4.750,15.50,3.90%,42.95,"7,004.2M",9,2,1.23,3.950 / 3.970,13.26,257.90,,0.1,,"7,900 / 6,900",https://www.klsescreener.com/v2/stocks/view/5258/bimb-holdings-berhad
2019-09-17,'7237,PWROOT ,POWER ROOT BERHAD,,1.9799999999999998,2.020,1.950,2.010,"497,200",3,+0.030 ,+1.52%,increasing,"871,100",1.210 - 2.120,7.93,3.95%,7.69,811.8M,26,2,3.57,2.000 / 2.010,13.66,84.92,,0.6,,"430,000 / 50,000",https://www.klsescreener.com/v2/stocks/view/7237/power-root-berhad
2019-09-17,'7205,COCOLND ,COCOALAND HOLDINGS BERHAD,,1.8800000000000001,1.890,1.870,1.870,"19,000",1,-0.010 ,-0.53%,decreasing,"31,400",1.800 - 2.210,6.00,3.21%,14.69,427.9M,13,2,1.68,1.870 / 1.950,13.23,109.75,,0.6,,"4,000 / 5,600",https://www.klsescreener.com/v2/stocks/view/7205/cocoaland-holdings-berhad
2019-09-17,'5681,PETDAG ,PETRONAS DAGANGAN BHD,,23.3,24.020,23.160,23.420,"609,200",6,+0.120 ,+0.52%,increasing,"449,100",21.200 - 28.480,70.00,2.99%,78.60,"23,266.7M",30,1,3.94,23.340 / 23.420,13.21,"3,061.32",,1.4,,"10,400 / 500",https://www.klsescreener.com/v2/stocks/view/5681/petronas-dagangan-bhd
2019-09-17,'5286,MI ,MI TECHNOVATION BERHAD,,2.0500000000000003,2.120,2.020,2.120,"2,513,600",7,+0.070 ,+3.41%,increasing,"1,088,300",1.450 - 3.370,3.00,1.42%,9.08,"1,060.0M",23,7,3.07,2.120 / 2.130,13.16,29.65,,2.3,,"134,300 / 128,000",https://www.klsescreener.com/v2/stocks/view/5286/mi-technovation-berhad
2019-09-17,'7889,THRIVEN ,THRIVEN GLOBAL BERHAD,,0.2,0.195,0.195,0.195,"108,700",1,-0.005 ,-2.50%,decreasing,"321,500",0.175 - 0.295,0.00,0.00%,4.98,106.7M,4,0,0.52,0.195 / 0.200,13.24,51.14,,0.3,,"17,100 / 279,900",https://www.klsescreener.com/v2/stocks/view/7889/thriven-global-berhad
2019-09-17,'1295,PBBANK ,PUBLIC BANK BERHAD,,20.14,20.240,20.120,20.160,"8,525,100",1,+0.020 ,+0.10%,increasing,"4,254,000",20.000 - 25.260,70.00,3.47%,142.50,"78,263.9M",14,3,1.85,20.120 / 20.160,13.04,577.59,,2.0,,"100,000 / 1,505,600",https://www.klsescreener.com/v2/stocks/view/1295/public-bank-berhad
2019-09-17,'7180,SERNKOU ,SERN KOU RESOURCES BERHAD,,0.605,0.630,0.585,0.615,"689,800",2,+0.010 ,+1.65%,increasing,"561,500",0.440 - 0.625,0.00,0.00%,4.82,147.6M,13,1,1.66,0.610 / 0.615,13.03,98.80,,1.2,,"11,000 / 1,300",https://www.klsescreener.com/v2/stocks/view/7180/sern-kou-resources-berhad
2019-09-17,'5827,OIB ,ORIENTAL INTEREST BERHAD,,2.18,2.180,2.180,2.180,-,0,0.000 ,0.00%,,"2,100",1.970 - 2.280,8.00,3.67%,36.71,337.6M,6,1,0.77,2.010 / 2.230,12.97,191.49,,0.0,,"3,000 / 500",https://www.klsescreener.com/v2/stocks/view/5827/oriental-interest-berhad
2019-09-17,'2089,UTDPLT ,UNITED PLANTATIONS BERHAD,,25.5,25.500,25.300,25.300,"110,000",10,-0.200 ,-0.78%,decreasing,"31,200",25.000 - 27.900,140.00,5.53%,156.13,"5,265.8M",16,4,2.10,25.300 / 25.460,12.97,597.49,,3.5,,"11,300 / 3,200",https://www.klsescreener.com/v2/stocks/view/2089/united-plantations-berhad
2019-09-17,'0002,KOTRA ,KOTRA INDUSTRIES BERHAD,,1.8,1.800,1.800,1.800,"3,500",0,0.000 ,0.00%,,"8,100",1.620 - 1.940,3.00,1.67%,15.41,259.3M,12,2,1.50,1.630 / 1.820,12.84,119.78,,0.4,,"1,200 / 3,000",https://www.klsescreener.com/v2/stocks/view/0002/kotra-industries-berhad
