Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9873,-0.005,-1.22,"1,035","1,385",0.405,0.410,374,0.41,0.410,0.415,0.405,s,29 Nov 2019,05:00PM,0.405,PRESTAR RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9873
MAIN MARKET,TECHNOLOGY,'5204,-0.010,-2.30,"16,786","2,840",0.420,0.425,"1,322",0.435,0.435,0.435,0.425,s,29 Nov 2019,05:00PM,0.425,PRESTARIANG BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5204
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7168,0.015,+2.46,"13,612","1,240",0.620,0.625,167,0.61,0.615,0.665,0.590,s,29 Nov 2019,05:00PM,0.625,PRG HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7168
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7123,-0.005,-11.11,"539,418","198,046",0.040,0.045,"202,971",0.045,0.040,0.040,0.035,s,29 Nov 2019,05:00PM,0.040,PRICEWORTH INTERNATIONAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7123
MAIN MARKET,CONSTRUCTION,'7145,-0.005,-4.76,"112,038","64,374",0.095,0.100,"21,121",0.105,0.100,0.100,0.095,s,29 Nov 2019,05:00PM,0.100,PRINSIPTEK CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7145
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7201,-0.005,-4.17,230,120,0.115,0.120,"4,140",0.12,0.115,0.115,0.115,s,29 Nov 2019,05:00PM,0.115,PROGRESSIVE IMPACT CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7201
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'8966,0.015,+1.61,"6,410",80,0.945,0.950,190,0.93,0.930,0.945,0.905,s,29 Nov 2019,05:00PM,0.945,PROLEXUS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8966
MAIN MARKET,CONSTRUCTION,'5070,-,-,"28,845","6,305",0.305,0.310,"4,081",0.305,0.310,0.315,0.295,s,29 Nov 2019,05:00PM,0.305,PROTASCO BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5070
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5436,-0.020,-0.47,15,101,4.230,4.370,26,4.25,4.240,4.240,4.230,s,29 Nov 2019,05:00PM,4.230,PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5436
MAIN MARKET,FINANCIAL SERVICES,'1295,-0.120,-0.61,"48,904","5,032",19.620,19.640,1,19.74,19.640,19.820,19.620,s,29 Nov 2019,05:00PM,19.620,PUBLIC BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1295
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'8273,-0.010,-1.23,"6,145",28,0.805,0.810,337,0.815,0.815,0.815,0.790,s,29 Nov 2019,05:00PM,0.805,PUBLIC PACKAGES HOLDINGS BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8273
MAIN MARKET,CONSTRUCTION,'6807,-,-,"1,020",568,0.265,0.270,152,0.265,0.265,0.270,0.265,s,29 Nov 2019,05:00PM,0.265,PUNCAK NIAGA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6807
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7134,-,-,-,50,0.695,0.715,40,0.715,-,-,-,s,29 Nov 2019,05:00PM,-,PWF CONSOLIDATED BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7134
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7084,-0.050,-0.68,"4,957","8,472",7.250,7.270,10,7.3,7.300,7.310,7.180,s,29 Nov 2019,05:00PM,7.250,QL RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7084
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7544,-,-,-,90,0.720,1.100,100,0.8,-,-,-,s,29 Nov 2019,05:00PM,-,QUALITY CONCRETE HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7544
