BoardType,Name,Code,BursaURL,Page
main_market,AFFIN BANK BERHAD,'5185,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185,http://www.affin.com.my
main_market,AHB HOLDINGS BERHAD,'7315,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315,http://www.ahb.com.my
main_market,AHMAD ZAKI RESOURCES BERHAD,'7078,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078,http://www.azrb.com
main_market,AIRASIA GROUP BERHAD,'5099,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5099,http://www.airasia.com
main_market,AIRASIA X BERHAD,'5238,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5238,http://www.airasiax.com
main_market,AJINOMOTO (MALAYSIA) BERHAD,'2658,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2658,http://www.ajinomoto.com.my
main_market,AJIYA BERHAD,'7609,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7609,http://www.ajiya.com
main_market,AL-`AQAR HEALTHCARE REIT,'5116,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5116,http://www.alaqar.com.my/
main_market,AL-SALAM REAL ESTATE INVESTMENT TRUST,'5269,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5269,http://www.alsalamreit.com.my
main_market,ALAM MARITIM RESOURCES BERHAD,'5115,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5115,http://www.alam-maritim.com.my
main_market,ALCOM GROUP BERHAD,'2674,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2674,http://www.alcom.com.my
main_market,ALLIANCE BANK MALAYSIA BERHAD,'2488,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2488,http://www.alliancebank.com.my/
main_market,ALLIANZ MALAYSIA BERHAD,'1163,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1163,http://www.allianz.com.my
main_market,AMALGAMATED INDUSTRIAL STEEL BERHAD,'2682,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2682,http://www.aisberhad.com.my
main_market,AMANAH HARTA TANAH PNB,'4952,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4952,http://www.ahp.com.my
main_market,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,'5127,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5127,http://www.arrm.com.my
main_market,AMCORP PROPERTIES BERHAD,'1007,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1007,http://www.amcorpproperties.com
main_market,AME ELITE CONSORTIUM BERHAD,'5293,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5293,https://ame-elite.com/
main_market,AMFIRST REAL ESTATE INVESTMENT TRUST,'5120,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5120,http://www.amfirstreit.com.my
