Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-08-30,'7005,BIG ,B.I.G. INDUSTRIES BERHAD,,0.345,0.350,0.350,0.350,"10,000",1,+0.005 ,+1.45%,increasing,"16,800",0.260 - 0.515,0.00,0.00%,1.99,16.8M,18,0,0.63,0.330 / 0.350,3.55,95.63,,0.6,,"10,000 / 22,000",https://www.klsescreener.com/v2/stocks/view/7005/b-i-g-industries-berhad
2019-08-30,'0058,JCBNEXT ,JCBNEXT BERHAD,,1.5,1.500,1.500,1.500,-,0,0.000 ,0.00%,,"42,500",1.340 - 1.680,4.00,2.67%,8.69,206.7M,17,23,0.61,1.400 / 1.500,3.55,6.55,,0.0,,"4,200 / 20,000",https://www.klsescreener.com/v2/stocks/view/0058/jcbnext-berhad
2019-08-30,'5249,IOIPG ,IOI PROPERTIES GROUP BERHAD,,1.16,1.220,1.140,1.190,"5,002,100",3,+0.030 ,+2.59%,increasing,"3,183,700",1.160 - 1.800,3.00,2.52%,12.01,"6,552.3M",10,3,0.35,1.190 / 1.200,3.51,40.17,,1.6,,"20,200 / 53,300",https://www.klsescreener.com/v2/stocks/view/5249/ioi-properties-group-berhad
2019-08-30,'0059,ECOHLDS ,ECOBUILT HOLDINGS BERHAD,,0.195,0.195,0.195,0.195,-,0,0.000 ,0.00%,,"35,100",0.180 - 0.360,0.00,0.00%,1.54,31.7M,13,1,0.44,0.185 / 0.190,3.50,38.23,,0.0,,"90,000 / 2,000",https://www.klsescreener.com/v2/stocks/view/0059/ecobuilt-holdings-berhad
2019-08-30,'3476,KSENG ,KECK SENG (MALAYSIA) BERHAD,,4.33,4.400,4.330,4.400,"17,500",7,+0.070 ,+1.62%,increasing,"30,300",3.930 - 5.000,10.00,2.27%,21.92,"1,590.5M",20,2,0.70,4.360 / 4.400,3.49,270.18,,0.6,,"44,000 / 6,500",https://www.klsescreener.com/v2/stocks/view/3476/keck-seng-malaysia-berhad
2019-08-30,'1619,DRBHCOM ,DRB-HICOM BERHAD,,2.45,2.520,2.450,2.520,"14,560,700",7,+0.070 ,+2.86%,increasing,"8,615,500",1.600 - 3.000,3.00,1.19%,12.19,"4,871.8M",21,0,0.72,2.520 / 2.530,3.48,685.87,,1.7,,"14,300 / 156,600",https://www.klsescreener.com/v2/stocks/view/1619/drb-hicom-berhad
2019-08-30,'5180,CMMT ,CAPITALAND MALAYSIA MALL TRUST,,1.02,1.040,1.020,1.030,"564,200",1,+0.010 ,+0.98%,increasing,"1,111,600",0.990 - 1.170,7.10,6.89%,4.33,"2,105.5M",24,6,0.83,1.020 / 1.030,3.48,16.92,,0.5,,"358,900 / 18,600",https://www.klsescreener.com/v2/stocks/view/5180/capitaland-malaysia-mall-trust
2019-08-30,'5207,SBCCORP ,SBC CORPORATION BERHAD,,0.48,0.480,0.480,0.480,-,0,0.000 ,0.00%,,"16,200",0.400 - 0.630,1.00,2.08%,5.65,123.9M,9,1,0.29,0.440 / 0.470,3.45,69.64,,0.0,,"6,000 / 10,000",https://www.klsescreener.com/v2/stocks/view/5207/sbc-corporation-berhad
2019-08-30,'7033,HIGHTEC ,KUMPULAN H & L HIGH-TECH BERHAD,,1.03,1.070,1.070,1.070,"1,000",4,+0.040 ,+3.88%,increasing,700,1.030 - 1.680,3.50,3.27%,8.76,43.5M,12,2,0.42,1.070 / 1.100,3.44,57.54,,1.4,,"1,000 / 4,000",https://www.klsescreener.com/v2/stocks/view/7033/kumpulan-h-l-high-tech-berhad
2019-08-30,'6742,YTLPOWR ,YTL POWER INTERNATIONAL BHD,,0.6849999999999999,0.750,0.725,0.740,"7,485,600",11,+0.055 ,+8.03%,increasing,"1,697,400",0.685 - 1.180,4.72,6.38%,5.63,"6,037.1M",13,1,0.48,0.735 / 0.740,3.62,143.13,,4.4,,"170,600 / 1,810,700",https://www.klsescreener.com/v2/stocks/view/6742/ytl-power-international-bhd
