Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL,MarketStatus,TickSize,TickSizeRemark
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5165,0.020,+3.05,"4,818",14,0.670,0.675,728,0.655,0.660,0.690,0.660,s,12 Nov 2019,05:00PM,0.675,HOCK HENG STONE INDUSTRIES BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5165,MarketGapUp,3.0000000000000027,
MAIN MARKET,CONSTRUCTION,'6238,0.000,0.00,551,520,1.300,1.310,80,1.31,1.310,1.310,1.310,s,12 Nov 2019,05:00PM,1.310,HOCK SENG LEE BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6238,MarketNoChange,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5160,-0.010,-1.49,"24,069",652,0.660,0.665,"1,200",0.67,0.665,0.665,0.645,s,12 Nov 2019,05:00PM,0.660,HOMERITZ CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5160,MarketGapDown,1.0000000000000009,
MAIN MARKET,FINANCIAL SERVICES,'5819,-0.240,-1.40,"7,554","1,119",16.960,17.000,"4,030",17.2,17.200,17.200,16.860,s,12 Nov 2019,05:00PM,16.960,HONG LEONG BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5819,MarketNoChange,11.999999999999922,
MAIN MARKET,FINANCIAL SERVICES,'5274,0.000,0.00,0,-,-,-,-,9.38,-,-,-,Ss,12 Nov 2019,05:00PM,-,HONG LEONG CAPITAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5274,MarketClosed,0.0,
MAIN MARKET,FINANCIAL SERVICES,'1082,0.000,0.00,"1,380",31,17.000,17.100,"1,250",17.1,17.400,17.400,16.900,s,12 Nov 2019,05:00PM,17.100,HONG LEONG FINANCIAL GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1082,MarketGapUp,0.0,OpenAndClosePriceMismatch
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'3301,-0.060,-0.56,"1,021",1,10.580,10.600,100,10.66,10.680,10.680,10.560,s,12 Nov 2019,05:00PM,10.600,HONG LEONG INDUSTRIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3301,MarketGapUp,4.0000000000000036,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5291,0.020,+4.82,"32,596",256,0.435,0.440,288,0.415,0.415,0.445,0.415,s,12 Nov 2019,05:00PM,0.435,HPMT HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5291,MarketNoChange,4.0000000000000036,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'0185,0.000,0.00,"3,345","10,791",0.800,0.805,113,0.805,0.805,0.825,0.805,s,12 Nov 2019,05:00PM,0.805,HSS ENGINEERS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0185,MarketNoChange,0.0,
MAIN MARKET,PROPERTY,'5062,0.000,0.00,894,27,0.335,0.340,"1,935",0.335,0.335,0.340,0.335,s,12 Nov 2019,05:00PM,0.335,HUA YANG BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5062,MarketNoChange,0.0,
MAIN MARKET,TRANSPORTATION & LOGISTICS,'7013,0.000,0.00,"1,500","87,053",0.045,0.050,"93,040",0.05,0.045,0.050,0.045,s,12 Nov 2019,05:00PM,0.050,HUBLINE BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7013,MarketGapDown,0.0,OpenAndClosePriceMismatch
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5000,-0.040,-3.45,"2,919",1,1.120,1.130,132,1.16,1.160,1.160,1.120,s,12 Nov 2019,05:00PM,1.120,HUME INDUSTRIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5000,MarketNoChange,3.9999999999999813,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5024,0.005,+0.56,"1,311","6,138",0.900,0.905,130,0.9,0.905,0.905,0.900,s,12 Nov 2019,05:00PM,0.905,HUP SENG INDUSTRIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5024,MarketGapUp,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'8478,0.000,0.00,0,200,0.255,0.270,100,0.27,-,-,-,s,12 Nov 2019,05:00PM,-,HWA TAI INDUSTRIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8478,MarketClosed,0.0,
MAIN MARKET,PROPERTY,'4251,-0.005,-2.08,"64,517","1,797",0.230,0.235,"8,483",0.24,0.245,0.245,0.230,s,12 Nov 2019,05:00PM,0.235,I-BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4251,MarketGapUp,2.0000000000000018,
MAIN MARKET,PROPERTY,'5084,0.000,0.00,0,50,0.530,0.740,50,0.56,-,-,-,s,12 Nov 2019,05:00PM,-,IBRACO BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5084,MarketClosed,0.0,
