,Date,Status,Day
607,19960626,Open,Wednesday
608,19960627,Open,Thursday
609,19960628,Open,Friday
610,19960701,Open,Monday
611,19960702,Open,Tuesday
612,19960703,Open,Wednesday
613,19960704,Open,Thursday
614,19960705,Open,Friday
615,19960708,Open,Monday
616,19960709,Open,Tuesday
617,19960710,Open,Wednesday
618,19960711,Open,Thursday
619,19960712,Open,Friday
620,19960715,Open,Monday
621,19960716,Open,Tuesday
622,19960717,Open,Wednesday
623,19960718,Open,Thursday
624,19960719,Open,Friday
625,19960722,Open,Monday
626,19960723,Open,Tuesday
627,19960724,Open,Wednesday
628,19960725,Open,Thursday
629,19960726,Open,Friday
630,19960730,Open,Tuesday
631,19960731,Open,Wednesday
632,19960801,Open,Thursday
633,19960802,Open,Friday
634,19960805,Open,Monday
635,19960806,Open,Tuesday
636,19960807,Open,Wednesday
637,19960808,Open,Thursday
638,19960809,Open,Friday
639,19960812,Open,Monday
640,19960813,Open,Tuesday
641,19960814,Open,Wednesday
642,19960815,Open,Thursday
643,19960816,Open,Friday
644,19960819,Open,Monday
645,19960820,Open,Tuesday
646,19960821,Open,Wednesday
647,19960822,Open,Thursday
648,19960823,Open,Friday
649,19960826,Open,Monday
650,19960827,Open,Tuesday
651,19960828,Open,Wednesday
652,19960829,Open,Thursday
653,19960830,Open,Friday
654,19960902,Open,Monday
655,19960903,Open,Tuesday
656,19960904,Open,Wednesday
657,19960905,Open,Thursday
658,19960906,Open,Friday
659,19960909,Open,Monday
660,19960910,Open,Tuesday
661,19960911,Open,Wednesday
662,19960912,Open,Thursday
663,19960913,Open,Friday
664,19960916,Open,Monday
665,19960917,Open,Tuesday
666,19960918,Open,Wednesday
667,19960919,Open,Thursday
668,19960920,Open,Friday
669,19960923,Open,Monday
670,19960924,Open,Tuesday
671,19960925,Open,Wednesday
672,19960926,Open,Thursday
673,19960927,Open,Friday
674,19960930,Open,Monday
675,19961001,Open,Tuesday
676,19961002,Open,Wednesday
677,19961003,Open,Thursday
678,19961004,Open,Friday
679,19961007,Open,Monday
680,19961008,Open,Tuesday
681,19961009,Open,Wednesday
682,19961010,Open,Thursday
683,19961011,Open,Friday
684,19961014,Open,Monday
685,19961015,Open,Tuesday
686,19961016,Open,Wednesday
687,19961017,Open,Thursday
688,19961018,Open,Friday
689,19961021,Open,Monday
690,19961022,Open,Tuesday
691,19961023,Open,Wednesday
692,19961024,Open,Thursday
693,19961025,Open,Friday
694,19961028,Open,Monday
695,19961029,Open,Tuesday
696,19961030,Open,Wednesday
697,19961031,Open,Thursday
698,19961101,Open,Friday
699,19961104,Open,Monday
700,19961105,Open,Tuesday
701,19961106,Open,Wednesday
702,19961107,Open,Thursday
703,19961108,Open,Friday
704,19961112,Open,Tuesday
705,19961113,Open,Wednesday
706,19961114,Open,Thursday
707,19961115,Open,Friday
708,19961118,Open,Monday
709,19961119,Open,Tuesday
710,19961120,Open,Wednesday
711,19961121,Open,Thursday
712,19961122,Open,Friday
713,19961125,Open,Monday
714,19961126,Open,Tuesday
715,19961127,Open,Wednesday
716,19961128,Open,Thursday
717,19961129,Open,Friday
718,19961202,Open,Monday
719,19961203,Open,Tuesday
720,19961204,Open,Wednesday
721,19961205,Open,Thursday
722,19961206,Open,Friday
723,19961209,Open,Monday
724,19961210,Open,Tuesday
725,19961211,Open,Wednesday
726,19961212,Open,Thursday
727,19961213,Open,Friday
728,19961216,Open,Monday
729,19961217,Open,Tuesday
730,19961218,Open,Wednesday
731,19961219,Open,Thursday
732,19961220,Open,Friday
733,19961223,Open,Monday
734,19961224,Open,Tuesday
735,19961226,Open,Thursday
736,19961227,Open,Friday
737,19961230,Open,Monday
738,19961231,Open,Tuesday
739,19970102,Open,Thursday
740,19970103,Open,Friday
741,19970106,Open,Monday
742,19970107,Open,Tuesday
743,19970108,Open,Wednesday
744,19970109,Open,Thursday
745,19970110,Open,Friday
746,19970113,Open,Monday
747,19970114,Open,Tuesday
748,19970115,Open,Wednesday
749,19970116,Open,Thursday
750,19970117,Open,Friday
751,19970120,Open,Monday
752,19970121,Open,Tuesday
753,19970122,Open,Wednesday
754,19970123,Open,Thursday
755,19970124,Open,Friday
756,19970127,Open,Monday
757,19970128,Open,Tuesday
758,19970129,Open,Wednesday
759,19970130,Open,Thursday
760,19970131,Open,Friday
761,19970203,Open,Monday
762,19970204,Open,Tuesday
763,19970205,Open,Wednesday
764,19970212,Open,Wednesday
765,19970213,Open,Thursday
766,19970214,Open,Friday
767,19970217,Open,Monday
768,19970218,Open,Tuesday
769,19970219,Open,Wednesday
770,19970220,Open,Thursday
771,19970221,Open,Friday
772,19970224,Open,Monday
773,19970225,Open,Tuesday
774,19970226,Open,Wednesday
775,19970227,Open,Thursday
776,19970228,Open,Friday
777,19970303,Open,Monday
778,19970304,Open,Tuesday
779,19970305,Open,Wednesday
780,19970306,Open,Thursday
781,19970307,Open,Friday
782,19970310,Open,Monday
783,19970311,Open,Tuesday
784,19970312,Open,Wednesday
785,19970313,Open,Thursday
786,19970314,Open,Friday
787,19970317,Open,Monday
788,19970318,Open,Tuesday
789,19970319,Open,Wednesday
790,19970320,Open,Thursday
791,19970321,Open,Friday
792,19970324,Open,Monday
793,19970325,Open,Tuesday
794,19970326,Open,Wednesday
795,19970327,Open,Thursday
796,19970328,Open,Friday
797,19970331,Open,Monday
798,19970401,Open,Tuesday
799,19970402,Open,Wednesday
800,19970403,Open,Thursday
801,19970404,Open,Friday
802,19970407,Open,Monday
803,19970408,Open,Tuesday
804,19970409,Open,Wednesday
805,19970410,Open,Thursday
806,19970411,Open,Friday
807,19970414,Open,Monday
808,19970415,Open,Tuesday
809,19970416,Open,Wednesday
810,19970417,Open,Thursday
811,19970421,Open,Monday
