Unnamed: 0,Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
516,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7107,0.010,+1.56,"1,195",140,0.645,0.660,15,0.64,0.650,0.650,0.650,s,22 Oct 2019,05:00PM,0.650,ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7107
517,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'4006,-0.020,-0.30,513,20,6.560,6.570,20,6.58,6.580,6.610,6.560,s,22 Oct 2019,05:00PM,6.560,ORIENTAL HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4006
518,MAIN MARKET,PROPERTY,'5827,0.010,+0.50,20,20,2.000,2.100,20,2.0,2.010,2.010,2.010,s,22 Oct 2019,05:00PM,2.010,ORIENTAL INTEREST BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5827
519,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5065,-0.010,-1.11,398,247,0.890,0.905,50,0.9,0.900,0.900,0.890,s,22 Oct 2019,05:00PM,0.890,ORNAPAPER BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5065
520,MAIN MARKET,PROPERTY,'5053,0.005,+0.53,"3,573",77,0.955,0.960,"2,038",0.95,0.950,0.955,0.950,s,22 Oct 2019,05:00PM,0.955,OSK HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5053
521,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7225,-,-,210,"39,256",0.055,0.060,"67,066",0.06,0.055,0.060,0.055,s,22 Oct 2019,05:00PM,0.060,P.A. RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7225
522,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7095,-0.010,-0.69,"8,806",312,1.430,1.440,138,1.45,1.480,1.490,1.430,s,22 Oct 2019,05:00PM,1.440,P.I.E. INDUSTRIAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7095
523,MAIN MARKET,FINANCIAL SERVICES,'6009,0.005,+0.52,30,250,0.960,0.965,261,0.965,0.970,0.970,0.970,s,22 Oct 2019,05:00PM,0.970,PACIFIC & ORIENT BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6009
524,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7052,-,-,553,7,3.670,3.700,31,3.7,3.670,3.700,3.650,s,22 Oct 2019,05:00PM,3.700,PADINI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7052
525,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'4081,-,-,-,"2,000",0.135,0.150,600,0.145,-,-,-,s,22 Oct 2019,05:00PM,-,PAN MALAYSIA CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4081
526,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1287,-,-,"15,720","17,981",0.060,0.065,"3,520",0.065,0.060,0.065,0.060,s,22 Oct 2019,05:00PM,0.065,PAN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1287
527,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'3719,-,-,5,49,37.600,37.800,13,37.6,37.600,37.600,37.600,s,22 Oct 2019,05:00PM,37.600,PANASONIC MANUFACTURING MALAYSIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3719
528,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'8419,-,-,"35,525","1,860",0.570,0.575,488,0.575,0.575,0.585,0.570,s,22 Oct 2019,05:00PM,0.575,PANSAR BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8419
529,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5125,-0.010,-1.89,"12,726",980,0.515,0.520,"1,226",0.53,0.530,0.535,0.515,s,22 Oct 2019,05:00PM,0.520,PANTECH GROUP HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5125
530,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5022,-,-,-,60,0.330,0.370,319,0.37,-,-,-,s,22 Oct 2019,05:00PM,-,PAOS HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5022
531,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'3611,-,-,-,30,0.915,0.990,20,0.95,-,-,-,s,22 Oct 2019,05:00PM,-,PARAGON GLOBE BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3611
532,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'9407,-,-,-,200,0.250,0.270,85,0.27,-,-,-,s,22 Oct 2019,05:00PM,-,PARAGON UNION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9407
533,MAIN MARKET,PROPERTY,'1724,0.010,+0.79,"5,119","2,916",1.270,1.290,224,1.27,1.270,1.280,1.260,s,22 Oct 2019,05:00PM,1.280,PARAMOUNT CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1724
534,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5657,-,-,"1,079","1,050",0.215,0.220,960,0.22,0.220,0.220,0.215,s,22 Oct 2019,05:00PM,0.220,PARKSON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5657
535,MAIN MARKET,PROPERTY,'6912,-,-,240,100,0.340,0.360,77,0.35,0.355,0.355,0.350,s,22 Oct 2019,05:00PM,0.350,PASDEC HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6912
536,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5212,-,-,785,475,1.780,1.790,"1,387",1.79,1.800,1.800,1.780,s,22 Oct 2019,05:00PM,1.790,PAVILION REAL ESTATE INVESTMENT TRUST,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5212
537,MAIN MARKET,UTILITIES,'5041,-,-,-,100,1.110,1.150,29,1.12,-,-,-,s,22 Oct 2019,05:00PM,-,PBA HOLDINGS BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5041
538,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6068,-0.015,-3.49,"37,811","14,366",0.415,0.420,"2,007",0.43,0.435,0.435,0.415,s,22 Oct 2019,05:00PM,0.415,PCCS GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6068
539,MAIN MARKET,TRANSPORTATION & LOGISTICS,'6254,0.005,+16.67,"1,750","21,577",0.030,0.035,"64,005",0.03,0.030,0.035,0.030,s,22 Oct 2019,05:00PM,0.035,PDZ HOLDINGS BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6254
540,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5271,-,-,"3,997",7,1.220,1.230,267,1.22,1.220,1.240,1.210,s,22 Oct 2019,05:00PM,1.220,PECCA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5271
541,MAIN MARKET,PROPERTY,'4464,0.005,+100.00,"1,502","6,014,014",0.005,0.010,"1,751,065",0.005,0.010,0.010,0.010,s,22 Oct 2019,05:00PM,0.010,PEGASUS HEIGHTS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4464
