Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5194,-,-,-,"653,599",0.005,0.010,"69,682",0.01,-,-,-,s,07 Nov 2019,05:00PM,-,APFT BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5194
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5015,-0.010,-0.50,"4,156",131,1.990,2.000,"2,704",2.0,2.010,2.030,1.990,s,07 Nov 2019,05:00PM,1.990,APM AUTOMOTIVE HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5015
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6432,0.020,+0.50,30,13,3.980,4.020,30,3.98,3.950,4.000,3.950,s,07 Nov 2019,05:00PM,4.000,APOLLO FOOD HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6432
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7181,-0.005,-1.35,"151,647","1,804",0.360,0.365,"13,226",0.37,0.365,0.370,0.355,s,07 Nov 2019,05:00PM,0.365,ARB BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7181
MAIN MARKET,PROPERTY,'7007,-,-,-,150,0.265,0.495,3,0.25,-,-,-,s,07 Nov 2019,05:00PM,-,ARK RESOURCES HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7007
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7722,-,-,-,100,0.460,0.500,60,0.5,-,-,-,s,07 Nov 2019,05:00PM,-,ASIA BRANDS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7722
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7129,-,-,106,92,2.330,2.350,35,2.35,2.350,2.350,2.340,s,07 Nov 2019,05:00PM,2.350,ASIA FILE CORPORATION BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7129
MAIN MARKET,TELECOMMUNICATIONS & MEDIA,'0159,0.005,+9.09,"1,750","32,700",0.055,0.060,"6,250",0.055,0.055,0.060,0.055,s,07 Nov 2019,05:00PM,0.060,ASIA MEDIA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0159
MAIN MARKET,PROPERTY,'4057,-,-,"2,634","5,790",0.125,0.130,"12,860",0.125,0.125,0.130,0.125,s,07 Nov 2019,05:00PM,0.125,ASIAN PAC HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4057
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7162,-,-,40,16,0.690,0.700,280,0.69,0.700,0.700,0.690,s,07 Nov 2019,05:00PM,0.690,ASTINO BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7162
MAIN MARKET,PLANTATION,'7054,-,-,210,"1,000",0.115,0.120,330,0.12,0.120,0.125,0.120,s,07 Nov 2019,05:00PM,0.120,ASTRAL ASIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7054
MAIN MARKET,TELECOMMUNICATIONS & MEDIA,'6399,0.020,+1.44,"6,298","1,347",1.390,1.410,905,1.39,1.390,1.410,1.390,s,07 Nov 2019,05:00PM,1.410,ASTRO MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6399
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'8176,0.020,+1.28,"1,409",84,1.560,1.580,95,1.56,1.570,1.600,1.540,s,07 Nov 2019,05:00PM,1.580,ATA IMS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8176
